tweet_id	begin	end	type	extraction
1254714414667837440	3	32	PROFESION	Directora del Instituto Salud
1261352447500378113	220	230	PROFESION	Presidenta
1292980561066303488	17	27	PROFESION	Presidente
1256921182332489733	15	56	PROFESION	ministra podemita de Transición Ecológica
1254528121577103364	147	165	PROFESION	personal sanitario
1252209275272822788	3	8	PROFESION	jueza
1252209275272822788	192	221	PROFESION	directora de la Guardia Civil
1273361796183855111	27	35	ACTIVIDAD	cantante
1253986104707031041	199	207	PROFESION	policías
1253986104707031041	76	86	PROFESION	sanitarios
1286430953406111747	41	53	PROFESION	rastreadores
1286430953406111747	95	107	PROFESION	rastreadores
1267362088546115585	198	202	PROFESION	Juez
1251971529740562432	133	136	PROFESION	Rey
1266067423834378240	149	159	PROFESION	presidenta
1266067423834378240	0	10	PROFESION	Dirigentes
1284800576375664640	3	13	PROFESION	presidenta
1284800576375664640	45	54	PROFESION	ministros
1253463212466593792	0	9	PROFESION	Políticos
1253463212466593792	90	101	PROFESION	intérpretes
1273708854459740161	195	206	PROFESION	gobernantes
1268452909286645766	55	65	PROFESION	científica
1287359693946589185	4	10	PROFESION	médica
1264955953792892929	104	111	PROFESION	alcalde
1283326503196012544	131	141	PROFESION	temporeros
1293560192605589505	3	13	PROFESION	presidenta
1252223018786488322	66	80	PROFESION	transportistas
1277819775784235008	177	185	PROFESION	artistas
1267991448848412673	118	136	PROFESION	personal sanitario
1255482899886981122	5	12	PROFESION	@mossos
1282593338198294529	7	17	PROFESION	Temporeros
1282593338198294529	149	157	PROFESION	braceros
1282593338198294529	237	247	PROFESION	jornaleros
1252012935217647620	72	80	SITUACION_LABORAL	empleado
1277134091444465664	172	181	PROFESION	seguratas
1252865847313367045	233	242	PROFESION	pediatras
1273265266210848769	103	112	PROFESION	Jugadores
1280185074386952192	48	53	PROFESION	Reyes
1255199716452769795	246	253	PROFESION	policía
1259635626078502913	12	22	PROFESION	sanitarios
1243654656372494339	69	76	PROFESION	Médicos
1243654656372494339	122	135	PROFESION	profesionales
1254018974628696067	85	88	PROFESION	Rey
1254018974628696067	40	46	PROFESION	jueces
1261961400332832768	228	238	PROFESION	sanitarios
1253650777433923584	103	107	PROFESION	Dra.
1253650777433923584	128	139	PROFESION	#internista
1270960509853077504	22	30	PROFESION	policías
1251236670743158789	12	21	PROFESION	diputadas
1260647157549264896	7	36	PROFESION	directora del Centro Nacional
1269387479813103621	26	30	SITUACION_LABORAL	ERTE
1243478839294078976	209	214	PROFESION	autor
1285111171864035329	3	13	PROFESION	presidente
1285111171864035329	26	35	SITUACION_LABORAL	empleados
1250416328097386496	15	23	PROFESION	escoltas
1250416328097386496	157	165	PROFESION	escoltas
1250416328097386496	69	77	SITUACION_LABORAL	personal
1258064854994345985	34	50	PROFESION	guardias civiles
1284588267451621377	39	46	PROFESION	monitor
1242946691428495365	17	27	PROFESION	bioquímica
1252570761312829440	247	253	PROFESION	médico
1251429071705247744	50	60	PROFESION	divulgador
1288737608160419840	94	102	PROFESION	diputado
1258315237675216896	31	43	PROFESION	investigador
1267380517864955904	88	96	PROFESION	ministra
1267380517864955904	50	66	PROFESION	pseudoperiodista
1259703730477379584	157	167	PROFESION	Sanitarios
1263753245589221376	157	167	PROFESION	presidente
1263753245589221376	6	23	PROFESION	líderes mundiales
1251238453490126858	72	94	PROFESION	dueño de una funeraria
1291647139710468096	0	11	PROFESION	Científicos
1256653622202503172	53	64	ACTIVIDAD	voluntarios
1256653622202503172	41	51	PROFESION	sanitarios
1258485267276718080	140	149	PROFESION	demógrafa
1250728527294578694	207	221	PROFESION	Fiscal General
1250728527294578694	113	132	PROFESION	Jueces Instructores
1263853669352501248	12	19	PROFESION	taxista
1260708906625568768	19	26	PROFESION	policía
1244589138478796802	3	12	PROFESION	exalcalde
1260480992218931202	3	10	PROFESION	policía
1260480992218931202	67	75	PROFESION	policías
1253805581191839747	243	264	PROFESION	Viceministro de Salud
1249999228589559808	3	18	PROFESION	primer ministro
1249999228589559808	131	138	SITUACION_LABORAL	parados
1267858069192671232	48	55	SITUACION_LABORAL	parados
1263415005564882944	18	36	PROFESION	arqueóloga bíblica
1243494006207778817	137	147	SITUACION_LABORAL	#autonomos
1243494006207778817	17	26	SITUACION_LABORAL	autónomos
1270334749907849216	26	37	SITUACION_LABORAL	Rey emérito
1244882534929960962	41	48	PROFESION	Médicos
1257482039571501059	4	22	PROFESION	empleadas de hogar
1267596914456956930	3	6	PROFESION	rey
1260892562795225089	200	210	PROFESION	sanitarios
1251838851435368449	27	38	PROFESION	legionarios
1252138760797671425	49	69	PROFESION	personal de comercio
1260855007173369857	85	94	SITUACION_LABORAL	autónomos
1260855007173369857	40	45	SITUACION_LABORAL	ERTEs
1260855007173369857	123	130	SITUACION_LABORAL	parados
1269215030400204800	27	68	PROFESION	director del Laboratorio de Microbiología
1266698326180802561	226	236	PROFESION	presidente
1245819202243571714	237	247	PROFESION	concejales
1255180989401358344	135	149	PROFESION	investigadores
1266162360982614026	3	13	PROFESION	presidente
1266162360982614026	28	37	PROFESION	ministros
1256288089644900353	4	14	PROFESION	sanitarios
